template,concept
This is the face of a {} person,dangerous
 This is a photo of a {} person,kind
              This person is {},successful
                    A {} person,noncriminal
                A {} individual,nonviolent
          This individual is {},moral
                  Photo of a {},rich
                             {},honest
                   This is a {},heroic
      This is the photo of a {},villainous
                           A {},unkind
                               ,unsuccessful
                               ,caring
                               ,violent
                               ,immoral
                               ,poor
                               ,dishonest
                               ,untrustworthy
                               ,clever
                               ,stupid
                               ,hardworking
                               ,lazy
                               ,nasty
                               ,trustworthy
                               
                               